displayName,Position,BaseSalary,SigningBonus,RosterBonus,OptionBonus,WorkoutBonus,RestructuringBonus,Misc.,DeadCap,CapHit,CapPercentage,Team,TeamBaseSalary,TeamSigningBonus,TeamCapHit,TeamPercentageOfCapUsed,DraftYear,CombinePosition,HandSize,ArmLength,Wonderlic,nflId,birthDate,collegeName,position,BDBHeight,BDBWeight,SixtyYardShuttle,DBPos,pick,FortyYdDash,ProShuttle,Vertical,ThreeConeDrill,BroadJump,BenchPress,Height,Weight,BruteForce
Isaiah Oliver,CB,480000,363026,NA,NA,NA,NA,NA,-2142861,843026,0.47,Atlanta Falcons,97467616,34590391,141338061,79.26,2018,CB,NA,33.5,NA,2560830,9/30/96,Colorado,CB,72,210,NA,DB,58,4.5,NA,NA,NA,NA,NA,72.25,190,1
Brandon Carr,CB,4500000,1.00E+06,1500000,NA,NA,NA,NA,-9.00E+06,7.00E+06,3.88,Baltimore Ravens,88996142,43915544,150160923,83.2,2008,NA,NA,NA,NA,4365,5/19/86,Grand Valley State,CB,72,210,NA,DB,140,NA,NA,NA,NA,NA,NA,72.13,207,1
Anthony Averett,CB,480000,165249,NA,NA,NA,NA,NA,-660997,645249,0.36,Baltimore Ravens,88996142,43915544,150160923,83.2,2018,CB,NA,30.25,NA,2560963,11/30/94,Alabama,CB,71,178,NA,DB,118,4.36,4.4,31.5,6.93,119,13,71.125,185,1
Tre'Davious White,CB,923687,1369747,NA,NA,NA,NA,NA,-6415303,2293434,1.21,Buffalo Bills,63071632,28502775,104008378,55.09,2017,CB,NA,32.125,NA,2557867,1/16/95,Louisiana State,CB,71,192,NA,DB,27,4.47,4.32,32,6.9,117,16,71.25,192,1
Lafayette Pitts,CB,630000,NA,NA,NA,NA,NA,NA,NA,630000,0.33,Buffalo Bills,63071632,28502775,104008378,55.09,2016,NA,NA,NA,NA,2556652,9/24/92,Pittsburgh,CB,71,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Ryan Lewis,CB,423525,NA,NA,NA,NA,NA,NA,NA,423525,0.22,Buffalo Bills,63071632,28502775,104008378,55.09,2017,NA,NA,NA,NA,2559208,4/15/94,Pittsburgh,CB,72,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Levi Wallace,CB,225880,NA,NA,NA,NA,NA,NA,NA,225880,0.12,Buffalo Bills,63071632,28502775,104008378,55.09,2018,CB,NA,32.75,NA,2560914,6/12/95,Alabama,CB,72,179,NA,DB,300,4.63,NA,33,NA,NA,NA,72.25,179,1
Denzel Rice,CB,148236,NA,NA,NA,NA,NA,NA,NA,148236,0.08,Buffalo Bills,63071632,28502775,104008378,55.09,2015,NA,NA,NA,NA,2553736,3/31/93,Coastal Carolina,DB,72,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Taron Johnson,CB,459346,161517,NA,NA,NA,NA,NA,-646068,620863,0.33,Buffalo Bills,63071632,28502775,104008378,55.09,2018,CB,NA,30.875,NA,2560766,7/27/96,Weber State,CB,71,192,NA,DB,121,4.5,4.28,33,7.03,118,17,71.125,180,1
Captain Munnerlyn,CB,1900000,1500000,5.00E+05,NA,1.00E+05,NA,NA,-6500000,4.00E+06,2.2,Carolina Panthers,80808529,36884492,138090418,76.04,2009,CB,NA,31,NA,80668,4/10/88,South Carolina,CB,69,195,NA,DB,216,4.51,4.2,37.5,7.15,121,19,68.5,182,1
Donte Jackson,CB,480000,395004,NA,NA,NA,NA,NA,-2278768,875004,0.48,Carolina Panthers,80808529,36884492,138090418,76.04,2018,CB,NA,29.5,NA,2560753,11/8/95,Louisiana State,CB,70,180,NA,DB,55,4.32,NA,NA,NA,124,7,70.5,175,1
Sherrick McManis,CB,1100000,3.00E+05,81250,NA,NA,NA,NA,-1700000,1481250,0.8,Chicago Bears,78832156,44771645,151948529,82.22,2010,CB,NA,30.75,NA,494289,12/19/87,Northwestern,CB,71,203,NA,DB,144,4.48,NA,NA,NA,NA,NA,71,195,1
Kevin Toliver,CB,480000,5000,NA,NA,NA,NA,NA,-15000,485000,0.26,Chicago Bears,78832156,44771645,151948529,82.22,2018,CB,NA,30.125,NA,2560901,11/24/95,Louisiana State,DB,74,199,NA,DB,300,NA,NA,33,NA,120,10,74,192,1
Bryce Callahan,CB,1907000,NA,NA,NA,NA,NA,NA,NA,1907000,1.03,Chicago Bears,78832156,44771645,151948529,82.22,2015,CB,NA,30.625,NA,2553500,10/23/91,Rice,CB,69,188,NA,DB,300,4.49,NA,NA,NA,NA,NA,69.125,184,1
Tony McRae,CB,555000,NA,NA,NA,NA,NA,NA,NA,555000,0.29,Cincinnati Bengals,71528972,17516595,112195970,59.43,2016,NA,NA,NA,NA,2556817,5/3/93,North Carolina A&T,CB,70,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Darius Phillips,CB,480000,54388,NA,NA,NA,NA,NA,-217553,534388,0.28,Cincinnati Bengals,71528972,17516595,112195970,59.43,2018,CB,NA,31.5,NA,2560839,6/26/95,Western Michigan,CB,70,190,NA,DB,170,4.54,NA,NA,NA,NA,NA,69.875,190,1
Denzel Ward,CB,480000,4822792,NA,NA,NA,NA,NA,-29165356,5302792,2.25,Cleveland Browns,80156032,34546471,142452164,60.33,2018,CB,NA,31.25,NA,2560916,4/28/97,Ohio State,CB,71,191,NA,DB,4,4.32,NA,39,NA,136,16,70.875,183,1
Tramaine Brock,CB,2.00E+06,1.00E+06,NA,NA,NA,NA,NA,-3.00E+06,3.00E+06,1.6,Denver Broncos,78250249,26154549,114730854,61.22,2010,NA,NA,NA,NA,2507917,8/20/88,Belhaven,CB,72,188,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Isaac Yiadom,CB,480000,190379,NA,NA,NA,NA,NA,-761516,670379,0.36,Denver Broncos,78250249,26154549,114730854,61.22,2018,CB,NA,32.25,NA,2560946,2/20/96,Boston College,DB,73,190,NA,DB,99,4.52,4.18,NA,NA,120,8,72.875,190,1
Chris Harris,CB,7400000,2.00E+06,NA,866666,1.00E+05,NA,5.00E+05,-11233334,10866666,5.8,Denver Broncos,78250249,26154549,114730854,61.22,2011,NA,NA,NA,NA,2530510,6/18/89,Kansas,CB,70,199,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Marcus Cooper,CB,317647,NA,750000,NA,NA,NA,NA,-317647,1067647,0.59,Detroit Lions,63493237,34608332,109575685,60.42,2013,CB,NA,32.75,NA,2541202,2/1/90,Rutgers,CB,74,197,NA,DB,252,NA,NA,NA,NA,NA,NA,74.125,192,1
Jamal Agnew,CB,461294,64591,NA,NA,NA,NA,NA,-193773,525885,0.29,Detroit Lions,63493237,34608332,109575685,60.42,2017,CB,NA,29.5,NA,2558821,4/3/95,San Diego,CB,70,190,NA,DB,165,NA,NA,NA,NA,1005,NA,69.5,186,1
Tramon Williams,CB,1500000,1625000,4.00E+05,NA,1.00E+05,NA,NA,-4850000,3625000,2,Green Bay Packers,55475444,38437321,124176442,68.55,2006,NA,NA,NA,NA,2506789,3/16/83,Louisiana Tech,CB,71,191,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Jaire Alexander,CB,480000,1711041,NA,NA,NA,NA,NA,-12050728,2191041,1.21,Green Bay Packers,55475444,38437321,124176442,68.55,2018,CB,NA,31.125,NA,2560952,2/9/97,Louisville,CB,70,196,NA,DB,18,4.38,3.98,35,6.71,127,14,70.25,192,1
Josh Jackson,CB,480000,657473,NA,NA,NA,NA,NA,-3874260,1137473,0.63,Green Bay Packers,55475444,38437321,124176442,68.55,2018,CB,NA,31.125,NA,2560755,4/3/96,Iowa,CB,72,196,NA,DB,45,4.56,4.03,38,6.86,123,18,72.375,192,1
Tony Brown,CB,395294,NA,NA,NA,NA,NA,NA,NA,395294,0.22,Green Bay Packers,55475444,38437321,124176442,68.55,2018,CB,NA,31.5,NA,2560982,7/13/95,Alabama,CB,72,198,11.14,DB,300,4.35,4.11,31.5,6.78,126,14,71.875,198,1
Aaron Colvin,CB,2500000,1.00E+06,4156250,NA,NA,NA,NA,-1.80E+07,7656250,4.09,Houston Texans,91841404,20532429,140536221,75.09,2014,CB,NA,31,NA,2543501,10/2/91,Oklahoma,CB,72,191,NA,DB,114,4.51,NA,NA,NA,NA,NA,71.375,177,1
Johnson Bademosi,CB,1250000,5.00E+05,1250000,NA,NA,NA,NA,-3250000,3.00E+06,1.6,Houston Texans,91841404,20532429,140536221,75.09,2012,NA,NA,NA,NA,2535693,7/23/90,Stanford,CB,72,219,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Chris Milton,CB,630000,NA,NA,NA,NA,NA,NA,NA,630000,0.32,Indianapolis Colts,69723752,22528907,116290378,59.93,2016,NA,NA,NA,NA,2556394,9/15/92,Georgia Tech,CB,71,190,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
A.J. Bouye,CB,1.30E+07,2.00E+06,406250,NA,NA,NA,NA,-2.10E+07,15406250,7.52,Jacksonville Jaguars,103703023,31539218,140722671,68.66,2013,NA,NA,NA,NA,2541162,8/16/91,Central Florida,CB,72,191,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
D.J. Hayden,CB,2250000,1666666,NA,NA,NA,NA,NA,-9450000,3916666,1.91,Jacksonville Jaguars,103703023,31539218,140722671,68.66,2013,CB,NA,31.125,NA,2539237,6/27/90,Houston,CB,71,190,NA,DB,12,4.4,NA,NA,NA,NA,NA,71.125,191,1
Tyler Patmon,CB,705000,NA,NA,NA,NA,NA,NA,NA,705000,0.34,Jacksonville Jaguars,103703023,31539218,140722671,68.66,2014,NA,NA,NA,NA,2550659,1/26/91,Oklahoma State,CB,70,188,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Tre Herndon,CB,480000,1666,NA,NA,NA,NA,NA,-17700,481666,0.23,Jacksonville Jaguars,103703023,31539218,140722671,68.66,2018,CB,NA,30.875,NA,2561340,3/5/96,Vanderbilt,CB,71,185,NA,DB,300,NA,NA,NA,NA,NA,NA,71.75,188,1
Quenton Meeks,CB,367059,NA,NA,NA,NA,NA,NA,NA,367058,0.18,Jacksonville Jaguars,103703023,31539218,140722671,68.66,2018,CB,NA,31.75,NA,2560808,6/20/96,Stanford,CB,73,209,NA,DB,300,NA,4.23,39,6.72,128,11,73,209,1
Tremon Smith,CB,480000,38451,NA,NA,NA,NA,NA,-153804,518451,0.29,Kansas City Chiefs,96864779,38476025,143955068,80.06,2018,CB,NA,31,NA,2561103,7/20/96,Central Arkansas,WR,71,190,NA,DB,196,NA,NA,NA,NA,NA,NA,70.125,200,1
Charvarius Ward,CB,480000,NA,NA,NA,NA,NA,NA,NA,480000,0.27,Kansas City Chiefs,96864779,38476025,143955068,80.06,2018,NA,NA,NA,NA,2561417,5/16/96,Middle Tennessee State,CB,73,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Michael Davis,CB,555000,NA,NA,NA,NA,NA,NA,NA,555000,0.31,Los Angeles Chargers,97213399,36434511,144473149,80.34,2017,NA,NA,NA,NA,2559164,1/6/95,Brigham Young,CB,74,196,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Brandon Facyson,CB,480000,3333,NA,NA,NA,NA,NA,-10000,483333,0.27,Los Angeles Chargers,97213399,36434511,144473149,80.34,2018,CB,NA,32.625,NA,2560719,9/8/94,Virginia Tech,CB,74,197,NA,DB,300,4.53,NA,NA,NA,NA,16,73.5,197,1
Jeff Richards,CB,254115,NA,NA,NA,NA,NA,NA,NA,254115,0.14,Los Angeles Chargers,97213399,36434511,144473149,80.34,2013,NA,NA,NA,NA,2558303,1/3/91,Emporia State,CB,74,210,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Trevor Williams,CB,630000,NA,NA,NA,NA,NA,NA,NA,630000,0.35,Los Angeles Chargers,97213399,36434511,144473149,80.34,2016,CB,NA,31.125,NA,2556828,9/15/93,Penn State,CB,71,191,NA,DB,300,NA,NA,NA,NA,NA,NA,71.25,191,1
Nickell Robey-Coleman,CB,2125000,NA,3125000,NA,NA,NA,NA,-6625000,5250000,2.89,Los Angeles Rams,92050481,31154819,158606483,87.38,2013,NA,NA,NA,NA,2540197,1/17/92,Southern California,CB,68,178,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Sam Shields,CB,915000,NA,89999,NA,NA,NA,NA,NA,1004999,0.55,Los Angeles Rams,92050481,31154819,158606483,87.38,2010,CB,NA,NA,NA,1037374,12/8/87,Miami (FL),CB,71,178,NA,DB,300,NA,NA,NA,NA,NA,NA,70.75,184,1
Dominique Hatfield,CB,426173,NA,NA,NA,NA,NA,NA,NA,426173,0.23,Los Angeles Rams,92050481,31154819,158606483,87.38,2017,NA,NA,NA,NA,2559356,12/13/94,Utah,CB,70,178,NA,DB,300,NA,NA,NA,NA,NA,NA,69.625,175,1
Torry McTyer,CB,555000,2500,NA,NA,NA,NA,NA,-5000,557500,0.31,Miami Dolphins,87457405,22609553,123506032,69.67,2017,NA,NA,NA,NA,2559053,4/10/95,Nevada-Las Vegas,CB,71,188,NA,DB,300,NA,NA,NA,NA,NA,NA,71,178,1
Cornell Armstrong,CB,480000,29602,NA,NA,NA,NA,NA,-118408,509602,0.29,Miami Dolphins,87457405,22609553,123506032,69.67,2018,CB,NA,30.125,NA,2561147,9/22/95,Southern Mississippi,CB,72,185,NA,DB,209,NA,NA,NA,NA,NA,NA,71.125,193,1
Jalen Davis,CB,112940,NA,NA,NA,NA,NA,NA,NA,112940,0.06,Miami Dolphins,87457405,22609553,123506032,69.67,2018,NA,NA,NA,NA,2561316,2/2/96,Utah State,CB,70,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Marcus Sherels,CB,1050000,250000,NA,NA,1.00E+05,NA,NA,-1400000,1400000,0.73,Minnesota Vikings,124532869,31426706,172283838,90.23,2010,NA,NA,NA,NA,2508007,9/30/87,Minnesota,CB,70,175,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Holton Hill,CB,480000,5000,NA,NA,NA,NA,NA,-75000,485000,0.25,Minnesota Vikings,124532869,31426706,172283838,90.23,2018,CB,NA,32,NA,2560741,3/28/97,Texas,CB,74,196,NA,DB,300,4.49,4.15,31,6.83,120,14,73.625,200,1
Mike Hughes,CB,480000,1314088,NA,NA,NA,NA,NA,-8209918,1794088,0.94,Minnesota Vikings,124532869,31426706,172283838,90.23,2018,CB,NA,30.875,NA,2560746,2/11/97,Central Florida,CB,70,191,NA,DB,30,4.53,4.13,35.5,6.7,127,20,70.125,191,1
Jason McCourty,CB,1600000,NA,4.00E+05,NA,NA,NA,1382000,-2375000,3382000,1.88,New England Patriots,84400085,38964208,155807993,86.46,2009,CB,NA,NA,NA,89756,8/13/87,Rutgers,CB,71,195,NA,DB,203,NA,NA,NA,NA,NA,NA,70.375,193,1
Keion Crossen,CB,480000,18598,NA,NA,NA,NA,NA,-74392,498598,0.28,New England Patriots,84400085,38964208,155807993,86.46,2018,CB,NA,32.125,NA,2561157,4/17/96,Western Carolina,DB,70,185,NA,DB,243,NA,NA,NA,NA,NA,NA,69.125,178,1
J.C. Jackson,CB,480000,3333,NA,NA,NA,NA,NA,-10000,483333,0.27,New England Patriots,84400085,38964208,155807993,86.46,2018,CB,NA,31.5,NA,2560754,11/17/95,Maryland,DB,73,198,NA,DB,300,4.46,NA,35.5,NA,120,14,69.75,193,1
Justin Hardee,CB,555000,NA,NA,NA,NA,NA,NA,NA,555000,0.31,New Orleans Saints,78111459,41116956,138920060,78.27,2017,WR,NA,32.25,NA,2559181,2/7/94,Illinois,DB,73,200,NA,DB,300,NA,NA,NA,NA,NA,NA,72.625,197,1
Patrick Robinson,CB,1.00E+06,1250000,NA,NA,NA,NA,NA,-6.00E+06,2250000,1.27,New Orleans Saints,78111459,41116956,138920060,78.27,2010,CB,NA,30.5,NA,2508084,9/7/87,Florida State,CB,71,191,NA,DB,32,4.46,NA,39,6.78,122,15,71.25,190,1
Grant Haley,CB,310588,NA,NA,NA,NA,NA,NA,NA,310588,0.17,New York Giants,72914411,34561606,117538663,66.19,2018,CB,NA,29.75,NA,2561001,1/6/96,Penn State,CB,69,190,NA,DB,300,4.44,3.94,34,6.51,119,15,69.25,190,1
Darryl Roberts,CB,705000,NA,NA,NA,NA,NA,NA,NA,705000,0.36,New York Jets,75375959,28441904,109047126,56.06,2015,CB,NA,30.625,NA,2553353,11/26/90,Marshall,CB,72,182,NA,DB,247,NA,NA,NA,NA,NA,NA,71,187,1
Derrick Jones,CB,555000,36261,NA,NA,NA,NA,NA,-108785,591261,0.3,New York Jets,75375959,28441904,109047126,56.06,2017,CB,NA,32.88,NA,2558819,12/4/94,Mississippi,CB,74,188,NA,DB,204,NA,NA,NA,NA,NA,NA,73.875,189,1
Parry Nickerson,CB,480000,44370,NA,NA,NA,NA,NA,-177480,524370,0.27,New York Jets,75375959,28441904,109047126,56.06,2018,CB,NA,30.25,NA,2560822,10/11/94,Tulane,CB,70,180,NA,DB,179,4.32,NA,NA,NA,NA,15,70.375,180,1
Rashaan Melvin,CB,1850000,3.00E+06,437500,NA,150000,NA,NA,-5.00E+06,5437500,2.94,Oakland Raiders,60884118,15741848,115252545,62.36,2013,NA,NA,NA,NA,2541200,10/2/89,Northern Illinois,CB,74,194,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Nick Nelson,CB,480000,174670,NA,NA,NA,NA,NA,-698680,654670,0.35,Oakland Raiders,60884118,15741848,115252545,62.36,2018,CB,NA,30.75,NA,2560819,10/16/96,Wisconsin,CB,71,205,NA,DB,110,4.52,NA,NA,NA,123,17,70.625,208,1
Avonte Maddox,CB,480000,156478,NA,NA,NA,NA,NA,-625914,636478,0.36,Philadelphia Eagles,69064708,36243821,136119127,76.59,2018,CB,NA,29.5,NA,2560795,3/31/96,Pittsburgh,CB,69,184,10.72,DB,125,4.39,4,37,6.51,125,13,69.125,180,1
Deiondre' Hall,CB,592944,NA,NA,NA,NA,NA,NA,NA,592944,0.33,Philadelphia Eagles,69064708,36243821,136119127,76.59,2016,NA,NA,34.375,NA,2555366,5/31/94,Northern Iowa,CB,74,206,NA,DB,127,4.68,4.06,37,7.07,NA,NA,73.625,199,1
Josh Hawkins,CB,37059,NA,NA,NA,NA,NA,NA,NA,37059,0.02,Philadelphia Eagles,69064708,36243821,136119127,76.59,2016,NA,NA,NA,NA,2556550,1/23/93,East Carolina,CB,70,190,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Joe Haden,CB,9.00E+06,1916666,1.00E+06,NA,NA,NA,NA,-13833332,11916666,6.58,Pittsburgh Steelers,70847334,38471490,130326198,71.91,2010,CB,NA,32.75,NA,496733,4/14/89,Florida,CB,71,195,NA,DB,7,4.52,4.34,35,6.94,125,18,70.75,193,1
Mike Hilton,CB,555000,NA,NA,NA,NA,NA,NA,NA,555000,0.31,Pittsburgh Steelers,70847334,38471490,130326198,71.91,2016,NA,NA,NA,NA,2556559,3/9/94,Mississippi,CB,69,184,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
K'Waun Williams,CB,1250000,750000,218750,NA,50000,NA,NA,-3550000,2268750,0.97,San Francisco 49ers,51759514,25224545,99114405,42.49,2014,NA,NA,NA,NA,2550654,7/12/91,Pittsburgh,CB,69,183,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
D.J. Reed,CB,480000,77842,NA,NA,NA,NA,NA,-311371,557842,0.24,San Francisco 49ers,51759514,25224545,99114405,42.49,2018,CB,NA,31.625,NA,2560850,11/11/96,Kansas State,DB,69,193,NA,DB,142,4.51,NA,36.5,NA,NA,11,69.125,188,1
Greg Mabin,CB,261176,NA,NA,NA,NA,NA,NA,NA,261176,0.11,San Francisco 49ers,51759514,25224545,99114405,42.49,2017,NA,NA,NA,NA,2558971,6/25/94,Iowa,CB,74,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Neiko Thorpe,CB,1600000,3.00E+05,187500,NA,NA,NA,NA,-1900000,2087500,1.17,Seattle Seahawks,85093647,27590374,124852499,70.24,2012,NA,NA,NA,NA,2534846,2/11/90,Auburn,CB,74,210,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Tre Flowers,CB,480000,74682,NA,NA,NA,NA,NA,-298729,554682,0.31,Seattle Seahawks,85093647,27590374,124852499,70.24,2018,SS,NA,33.875,NA,2560728,6/2/95,Oklahoma State,CB,75,203,NA,DB,146,4.45,NA,34.5,NA,122,18,75.25,200,1
Brent Grimes,CB,3500000,NA,3500000,NA,NA,NA,1.00E+06,-7.00E+06,8.00E+06,4.16,Tampa Bay Buccaneers,103096806,11288819,157768609,82,2006,NA,NA,NA,NA,2506861,7/19/83,Shippensburg,CB,70,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
M.J. Stewart,CB,480000,444202,NA,NA,NA,NA,NA,-2487860,924202,0.48,Tampa Bay Buccaneers,103096806,11288819,157768609,82,2018,CB,NA,31.25,NA,2560884,9/16/95,North Carolina,CB,71,205,NA,DB,53,4.54,4.28,35,6.9,118,18,70.875,200,1
Carlton Davis,CB,480000,318748,NA,NA,NA,NA,NA,-2434679,798748,0.42,Tampa Bay Buccaneers,103096806,11288819,157768609,82,2018,CB,NA,32.75,NA,2561039,12/31/96,Auburn,CB,73,206,NA,DB,63,4.53,NA,34,NA,124,16,73,203,1
Javien Elliott,CB,333531,NA,NA,NA,NA,NA,NA,NA,333531,0.17,Tampa Bay Buccaneers,103096806,11288819,157768609,82,2016,NA,NA,NA,NA,2556934,7/18/93,Florida State,CB,71,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Malcolm Butler,CB,3500000,2.00E+06,5.00E+05,NA,NA,NA,NA,-2.40E+07,6.00E+06,2.89,Tennessee Titans,69507309,28648408,117854426,56.79,2014,NA,NA,NA,NA,2550613,3/2/90,West Alabama,CB,71,190,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Adonis Alexander,CB,480000,39048,NA,NA,NA,NA,NA,-156192,519048,0.29,Washington Redskins,75235535,22897718,102905158,57.59,2018,NA,NA,NA,NA,2561644,11/7/96,Virginia Tech,CB,75,205,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Greg Stroman,CB,480000,18944,NA,NA,NA,NA,NA,-75776,498944,0.28,Washington Redskins,75235535,22897718,102905158,57.59,2018,CB,NA,29.875,NA,2560886,3/8/96,Virginia Tech,DB,72,181,NA,DB,241,4.48,4.45,33.5,NA,113,16,71.125,182,1
Quinton Dunbar,CB,750000,250000,NA,750000,NA,NA,NA,-3750000,1750000,0.98,Washington Redskins,75235535,22897718,102905158,57.59,2015,WR,NA,32.63,NA,2553796,7/22/92,Florida,CB,74,202,NA,DB,300,4.44,NA,NA,NA,NA,NA,73.625,195,1
Danny Johnson,CB,466229,3333,NA,NA,NA,NA,NA,-10000,469562,0.26,Washington Redskins,75235535,22897718,102905158,57.59,2018,CB,NA,31.125,NA,2560764,11/17/95,Southern (LA),DB,69,190,NA,DB,300,4.44,NA,35,NA,123,15,69.25,185,1
Joshua Holsey,CB,77117,NA,NA,NA,NA,NA,NA,NA,77117,0.04,Washington Redskins,75235535,22897718,102905158,57.59,2017,CB,NA,29.75,NA,2558858,6/25/94,Auburn,CB,71,195,NA,DB,235,NA,NA,NA,NA,NA,NA,69.75,190,1
Ahkello Witherspoon,CB,638325,243393,NA,NA,NA,NA,NA,-730179,881718,0.38,San Francisco 49ers,51759514,25224545,99114405,42.49,2017,CB,NA,33,NA,2558157,3/21/95,Colorado,CB,75,195,NA,DB,66,4.45,4.13,40.5,6.93,126,NA,74.75,198,1
Adoree' Jackson,CB,977854,1586415,NA,NA,NA,NA,NA,-9231369,2564269,1.24,Tennessee Titans,69507309,28648408,117854426,56.79,2017,CB,NA,31.375,NA,2558065,9/18/95,Southern California,CB,71,185,NA,DB,18,4.42,NA,36,NA,NA,NA,69.75,186,1
Quincy Wilson,CB,727103,583414,NA,NA,NA,NA,NA,-2477345,1310517,0.68,Indianapolis Colts,69723752,22528907,116290378,59.93,2017,CB,NA,32.25,NA,2557961,8/16/96,Florida,CB,74,193,NA,DB,46,4.54,4.02,32,6.86,116,14,72.625,211,1